artist,song,duration_ms,explicit,year,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,genre
Cobra Starship,Good Girls Go Bad (feat. Leighton Meester),196413,FALSE,2009,65,0.594,0.874,0,-3.716,1,0.0815,0.0116,0,0.549,0.628,119.964,pop+ Dance/Electronic
La Roux,Bulletproof,205733,FALSE,2009,71,0.674,0.882,3,-2.771,0,0.0477,0.000441,6.47E-05,0.068,0.682,123.016,pop+ Dance/Electronic
Kasabian,Fire,252279,FALSE,2009,64,0.525,0.742,10,-5.643,1,0.0311,0.0874,0.149,0.117,0.179,117.029,rock
Calvin Harris,I'm Not Alone - Radio Edit,210973,FALSE,2009,55,0.597,0.684,7,-6.614,1,0.0321,0.00481,0.105,0.317,0.435,130.99,hip hop+ pop+ Dance/Electronic
Justin Bieber,One Time,215866,FALSE,2009,71,0.691,0.853,1,-2.528,0,0.0372,0.0631,7.13E-05,0.082,0.762,145.999,pop
La Roux,In For The Kill,248626,FALSE,2009,59,0.629,0.969,8,-0.276,0,0.0455,0.00184,0,0.122,0.905,150.01,pop+ Dance/Electronic
Muse,Uprising,304840,FALSE,2009,75,0.602,0.905,2,-4.046,1,0.0775,0.000202,0.064,0.117,0.411,128.019,rock
Boys Like Girls,Love Drunk,226706,FALSE,2009,64,0.44,0.976,10,-3.17,1,0.141,0.00177,3.39E-06,0.16,0.412,150.005,pop
The-Dream,Rockin' That Shit,221920,TRUE,2009,62,0.672,0.62,8,-4.865,1,0.0422,0.123,0,0.362,0.627,78.005,hip hop+ pop+ R&B
OneRepublic,Secrets,224693,FALSE,2009,74,0.516,0.764,2,-6.223,1,0.0366,0.0717,0,0.115,0.376,148.021,pop
Jason Aldean,Big Green Tractor,204200,FALSE,2009,50,0.616,0.596,4,-5.035,1,0.0289,0.654,0,0.218,0.58,137.077,country
The Fray,Never Say Never,256613,FALSE,2009,67,0.23,0.492,8,-5.767,1,0.0317,0.568,8.18E-06,0.176,0.262,160.139,pop
Lily Allen,The Fear,207120,TRUE,2009,53,0.661,0.847,10,-6.948,1,0.0404,0.419,8.82E-05,0.107,0.522,134.002,pop
Kelly Clarkson,Already Gone,281560,FALSE,2009,56,0.209,0.872,9,-2.996,1,0.0757,0.217,0,0.0768,0.294,78.139,pop+ R&B
Miley Cyrus,Party In The U.S.A.,202066,FALSE,2009,79,0.652,0.698,10,-4.667,0,0.042,0.00112,0.000115,0.0886,0.47,96.021,pop
Jordin Sparks,Battlefield,241920,FALSE,2009,57,0.613,0.634,2,-3.472,1,0.0339,0.0178,0,0.0639,0.37,144.953,pop+ R&B
Green Day,21 Guns,321093,FALSE,2009,73,0.268,0.742,5,-4.939,1,0.0355,0.0518,0,0.626,0.416,159.779,rock
