artist,song,duration_ms,explicit,year,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,genre
K-Ci & JoJo,Crazy,262773,FALSE,2019,30,0.68,0.644,0,-4.507,1,0.0258,0.084,0,0.549,0.484,116.097,pop+ R&B
Angie Martinez,If I Could Go! (feat. Lil' Mo & Sacario),244466,FALSE,2019,40,0.583,0.643,9,-7.486,0,0.355,0.171,0,0.0395,0.7,195.685,pop
Aaliyah,Rock The Boat,275026,FALSE,2019,0,0.641,0.72,5,-5.209,1,0.0336,0.0688,0.00286,0.193,0.418,92.988,hip hop+ pop+ R&B
Liberty X,Just A Little,237359,FALSE,2019,43,0.786,0.614,5,-6.554,0,0.0574,0.00616,0,0.049,0.742,103.887,pop
Lil' Kim,Magic Stick,359973,TRUE,2019,47,0.849,0.498,2,-7.872,1,0.272,0.116,4.49E-05,0.268,0.502,92.98,hip hop+ pop+ R&B
Hinder,Lips Of An Angel,261053,FALSE,2019,35,0.474,0.744,2,-5.386,1,0.0341,0.0208,1.22E-06,0.209,0.238,129.005,pop+ rock+ metal
Hinder,Better Than Me,223533,FALSE,2019,30,0.451,0.682,2,-5.295,0,0.029,0.205,0,0.175,0.254,139.913,pop+ rock+ metal
Chris Brown,Beautiful People,225881,FALSE,2019,53,0.415,0.775,5,-6.366,0,0.161,0.0658,0.00431,0.0843,0.536,127.898,hip hop+ pop+ R&B
Hayden James,NUMB,217296,TRUE,2019,47,0.617,0.558,10,-7.046,0,0.0431,0.184,1.03E-06,0.0911,0.4,147.932,pop+ Dance/Electronic
Nicky Jam,X,172854,FALSE,2019,74,0.594,0.749,9,-5.298,0,0.056,0.0338,0.00106,0.3,0.694,179.968,latin
Lil Nas X,Old Town Road - Remix,157066,FALSE,2019,79,0.878,0.619,6,-5.56,1,0.102,0.0533,0,0.113,0.639,136.041,hip hop+ pop
Billie Eilish,bad guy,194087,FALSE,2019,83,0.701,0.425,7,-10.965,1,0.375,0.328,0.13,0.1,0.562,135.128,pop+ Dance/Electronic
Shawn Mendes,Se̱orita,190799,FALSE,2019,78,0.759,0.548,9,-6.049,0,0.029,0.0392,0,0.0828,0.749,116.967,pop
Ariana Grande,7 rings,178626,TRUE,2019,83,0.778,0.317,1,-10.732,0,0.334,0.592,0,0.0881,0.327,140.048,pop
Post Malone,Sunflower - Spider-Man: Into the Spider-Verse,157560,FALSE,2019,79,0.755,0.522,2,-4.368,1,0.0575,0.533,0,0.0685,0.925,89.96,hip hop
Gesaffelstein,Lost in the Fire (feat. The Weeknd),202093,TRUE,2019,84,0.658,0.671,2,-12.21,1,0.0363,0.0933,0.000927,0.115,0.166,100.966,Dance/Electronic
Regard,Ride It,157605,FALSE,2019,81,0.88,0.751,7,-4.258,0,0.0874,0.177,6.43E-05,0.106,0.884,117.948,pop+ Dance/Electronic
Lewis Capaldi,Someone You Loved,182160,FALSE,2019,84,0.501,0.405,1,-5.679,1,0.0319,0.751,0,0.105,0.446,109.891,pop
Jax Jones,All Day And Night,169303,FALSE,2019,60,0.585,0.782,1,-4.101,0,0.0897,0.269,0,0.156,0.521,121.908,hip hop+ pop+ Dance/Electronic
Mustard,Pure Water (with Migos),192470,TRUE,2019,75,0.682,0.559,0,-5.545,1,0.127,0.174,0,0.344,0.137,202.015,hip hop+ pop
NLE Choppa,Shotta Flow (feat. Blueface) [Remix],176631,TRUE,2019,0,0.894,0.511,2,-4.768,1,0.42,0.0251,0,0.14,0.568,120.08,hip hop
Daddy Yankee,Con Calma,193226,FALSE,2019,79,0.737,0.86,8,-2.652,0,0.0593,0.11,1.94E-06,0.0574,0.656,93.989,latin
BLACKPINK,Kill This Love,189052,FALSE,2019,1,0.738,0.861,2,-4.141,1,0.237,0.318,0.00182,0.325,0.58,131.98,pop
Offset,Clout (feat. Cardi B),205803,TRUE,2019,68,0.919,0.622,1,-7.384,1,0.0997,0.228,4.24E-06,0.122,0.424,140.022,hip hop+ pop
MEDUZA,Piece Of Your Heart,152913,FALSE,2019,75,0.677,0.744,10,-6.806,0,0.0295,0.0404,0.00016,0.074,0.631,124.08,pop+ Dance/Electronic
Ed Sheeran,Antisocial (with Travis Scott),161746,FALSE,2019,63,0.716,0.823,5,-5.313,0,0.0495,0.132,0,0.361,0.91,151.957,pop
Mabel,Mad Love,169813,FALSE,2019,0,0.631,0.803,0,-2.974,0,0.155,0.675,0,0.11,0.62,198.065,pop+ Dance/Electronic
Lana Del Rey,Doin' Time,202192,TRUE,2019,80,0.641,0.559,7,-11.132,0,0.0355,0.404,0.00402,0.0937,0.523,144.982,pop
DJ Snake,Taki Taki (feat. Selena Gomez+ Ozuna & Cardi B),212500,TRUE,2019,70,0.842,0.801,8,-4.167,0,0.228,0.157,4.82E-06,0.0642,0.617,95.881,hip hop+ pop+ Dance/Electronic
Saweetie,My Type,126446,TRUE,2019,71,0.899,0.811,2,-6.294,1,0.258,0.000677,0,0.0672,0.587,105.038,hip hop+ pop+ R&B
